number,sentence,label
0,REC 2 kind of explains it.,MOV
1,Because the Palestinian movement is often Anti-Semitic.,NOT
2,That is so incredibly disappointing to hear.,NOT
3,Was really looking forward to acquiring my freshman 15.,NOT
4,"it's cool if you didn't like it, but as an action/thriller i don't see how you can fault it.",MOV
5,"As a CHC member of three years, the only real benefits are the dorms and small classes .",NOT
6,Do not underestimate the value of a good dorm though.,NOT
7,#Im in a zoom call!,NOT
8,"Considering what ends up in that pond, give the pooch a good bath soon after.l",NOT
9,Nor do I understand why I’m being downvoted for my opinion on a movie lmao.,MOV
10,Didnt damon write the screenplay for good will hunting?,MOV
11,Dune doesn't really resemble most of Lynch's movies.,MOV
12,"Besides, Lynch makes 'surreal' movies by developing a 'surreal' plot.",MOV
13,That marriage is why the whole thing works.,NOT
14,"No such thing happens in Dune, because it's an adaptation of a relatively straightforward novel.",MOV
15,OHill is about as far away from every place.,NOT
16,CS classes are held around campus but usually in the middle so as far as any other classes,NOT
17,"Also helps that *Air Force One* is directed by Wolfgang Petersen, who's pretty damn talented in his own right.",MOV
18,It's an entertaining and well made film from top to bottom.,MOV
19,THAT'LL BE FOUR BUCKS BABY!,NOT
20,YOU WANT FRIES WITH THAT?,NOT
21,Wet Hot American Summer and Swingers.,MOV
22,Better movie than both of those together.,MOV
23,Love these kinds of movies.,MOV
24,This study spot was a favorite for U.,NOT
25,The building [looked] a lot different [back then] than it does now!,NOT
26,"probably depends on your use case, but you might use SentenceBERT embeddings   [link]",NOT
27,"Vince Vaughn is one of those actors that, whenever he actually goes serious, just comes off as really off.",NOT
28,Makes it work really well for that sort of thing.,NOT
29,Looks like a parody of surrealist films,MOV
30,It’s in that place I put that thing that time,NOT
31,"it depends, as long as the story is told consistently  and/or efficiently .",NOT
32,"As someone who's worked in call centers for years, that movie hits close to home.",MOV
33,Are you the guy that made that other movie?,MOV
34,whats the big deal?,NOT
35,"Just to be clear, this approach classifies only using the name of the target labels, right?",NOT
36,"Could the label names be multi-word, or even sentence or paragraph lengths?",NOT
37,"The ending made me tear up, when he asked if his son is smart.",MOV
38,Well said and very brave of you.,NOT
39,"i dont really get ""scared"" by movies.",MOV
40,actually scary movies dont exist.,MOV
41,its all just sudden loudness.,NOT
42,Do you know of any tutorials for training a FFN classifier on top of BERT/GPT?,NOT
43,I'm assuming HuggingFace provides the base transformer model but I'm unfamiliar with where to go from there,NOT
44,"Ah, that was definitely an initial concern.",NOT
45,"It looks as though LSA, or potentially using vectorization may be essential to return meaningful results",NOT
46,This is a good one to go into without knowing anything about it.,MOV
47,Literally just the usual escaped mental patient story told with excellent pacing and dialogue.,MOV
48,"“I just sexualized children for art, judge.” Pedo director.",NOT
49,>the film industry isn't a well oiled machine for the people behind the scenes.,NOT
50,That's why they started Mud-wrestling Mondays.,NOT
51,"It's been said the 1977 version from the BBC, starring Louis Jordan, was the most faithful of adaptations.",MOV
52,> physic sidekick  Who doesn't wear a helmet because ~~she's hot~~ it interferes with her abilities.,NOT
53,The only time you would need to parallel park is when they plow the lots during the winter.,NOT
54,Took this class with her - shes just an average prof.,NOT
55,The online homeworks took some time to complete but the exams weren’t particularly hard .,NOT
56,Id say shoot straight as the other poster said,NOT
57,"Rocky Balboa was actually very sad, especially the gravestone scenes.",MOV
58,Thank you that is very helpful.,NOT
59,How many students actually land opportunities to work with this companies?,NOT
60,And through your explanation it sounds like CICS turns corporate heads – which is great to hear!,NOT
61,Thank you for clearing up the misconception.,NOT
62,I am aware Northeastern’s Co-op program is integrated into their curriculum.,NOT
63,So how do students at UMass intern?,NOT
64,When do most students tend to intern at the CICS?,NOT
65,And during what year ?,NOT
66,"Of course, it is a wrong assumption, I'm not trying to promote that idea.",NOT
67,"Say, women's top 20 is   1.",NOT
68,The Shawshank Redemption 2.,MOV
69,The Mountain II 4.,MOV
70,12 Angry Men 6.,MOV
71,The Lord of the Rings: The Return of the King 7.,MOV
72,The Lord of the Rings: The Fellowship of the Ring 8.,MOV
73,Life Is Beautiful 9.,MOV
74,The Lion King 10.,MOV
75,The Dark Knight 11.,MOV
76,The Godfather: Part II 12.,MOV
77,The Lord of the Rings: The Two Towers 15.,MOV
78,The Green Mile 16.,MOV
79,One Flew Over the Cuckoo's Nest  And men's top 20 is:  1.,MOV
80,The Shawshank Redemption 2.,MOV
81,The Dark Knight 4.,MOV
82,12 Angry Men 5.,MOV
83,The Godfather: Part II 6.,MOV
84,The Lord of the Rings: The Return of the King 8.,MOV
85,"The Good, the Bad and the Ugly 10.",MOV
86,The Mountain II 11.,MOV
87,The Lord of the Rings: The Fellowship of the Ring 12.,MOV
88,Star Wars: Episode V - The Empire Strikes Back 16.,MOV
89,The Lord of the Rings: The Two Towers 18.,MOV
90,One Flew Over the Cuckoo's Nest 19.,MOV
91,That sounds pretty plausible,NOT
92,You can try r/tipofmytongue if you’re still trying to figure this out,NOT
93,I think there's a lack of good dataset support for text data .,NOT
94,It's hypocritical and is why calling the hotline on your neighbor's for a party is extremely lame.,NOT
95,Its good not great.,NOT
96,Plenty of better in the genre.,NOT
97,"Before the semester started, like June",NOT
98,It's only in cinemas right now.,MOV
99,Is that Russell Brand I see?!,NOT
100,"It wasn’t on Hitler’s Birthday, it was the day after, this year marking Holocaust Remembrance Day",NOT
101,I used to live in a country where I was the majority.,NOT
102,"I thought asking for more ""representation"" etc was strange.",NOT
103,"I wasn't against it, but I just didn't really see the point.",NOT
104,Years ago I moved to a country where I was a racial minority.,NOT
105,Maybe I notice it more since things have changed for me.,NOT
106,I don't know what it is like if you grow up as such a minority.,NOT
107,"Nobody is going to be dropping any classes now, there's no reason for them to .",NOT
108,Wait until classes start then watch it like a hawk.,NOT
109,Chances are you'll get in.,NOT
110,UMass does not have an official film major program.,NOT
111,"Of the classes I have taken though, just as electives, professors are pretty good.",NOT
112,"Agree with the other guy, go to somewhere like Emerson or BU if you want to do film.",NOT
113,Can't really even tell that he basically broke his face and needed facial reconstruction.,NOT
114,I think it’ll be mixed.,NOT
115,“What was I learning other then that racist white folks are racist and white.,NOT
116,"People choose their residential area for all sorts of reasons, it depends what is most important to you.",NOT
117,"Northeast is the oldest residential area, and is closest to the brand new dining hall opening in Fall 2020.",NOT
118,The dorms are beautiful and conveniently located to the campus center and many classes.,NOT
119,"However, stereotypes include that many STEM majors live there and that it is not as social as other areas.",NOT
120,Central is the second oldest area and is also a very convenient location to most of campus.,NOT
121,"Right near Franklin dining hall and University Health Services, and is typically where many “stoners” live.",NOT
122,"After Northeast, Central would be the closest to engineering buildings.",NOT
123,Orchard Hill has absolutely gorgeous views but is quite a trek to get to.,NOT
124,"However, busses that run throughout the day will take you to and from, so it’s not a huge dealbreaker.",NOT
125,"Relatively quiet, as it is the smallest res area, but very chill vibes.",NOT
126,Pretty far from most classes but definitely makes up for it in parties/social life.,NOT
127,"Also has two dining halls within the area, so very convenient for food.",NOT
128,Let me know if you have any other questions!,NOT
129,I would totally go see Tenet but the nearest open theater to me is 25 miles away.,MOV
130,"No, I think her debut to nudity was a movie called Gia",MOV
131,It depends what class you are talking about in your first question.,NOT
132,"I believe every major within Engineering  has its own first year intro course, and then most eng.",NOT
133,majors across all disciplines will take your basic physics and chem courses.,NOT
134,"If you’re referring to a physics of chem lab, then yes, you’ll be getting other engineering majors .",NOT
135,"Calc is the same way, you’ll have people from other majors in those classes too.",NOT
136,"Perhaps a second lecture will be added at a different time, or the scheduling was simply a mistake.",NOT
137,"In the meantime, don’t worry about it.",NOT
138,I just wouldn’t enroll in that lab session.,NOT
139,"In terms of double majoring, I am not sure to be honest.",NOT
140,I did not know anyone who double majored with Engineering as one of the majors.,NOT
141,"What I will say though is that if you can, you absolutely should!",NOT
142,Double majoring is really cool and a unique thing not enough people take advantage of in college.,NOT
143,"If double majoring doesn’t work out, then consider doing the language as a minor too!",NOT
144,I think a minor requires 5 or 6 courses in that discipline .,NOT
145,"Hope I helped, any other questions?",NOT
146,An electrical would enroll in the electrical intro lecture and electrical lab.,NOT
147,Oh okay i see.,NOT
148,So it’s relatively small to room 3-4 people?,NOT
149,The rooms aren’t bigger?,NOT
150,"Bush Jr got a film about him 6 months before he left office, then another one 10 years after.",MOV
151,Uhh they're made by the guy behind Samurai Jack and Clone Wars.,MOV
152,Very solid kids movies.,MOV
153,The most ideal approach would just be to use a transformer decoder with Bert.,NOT
154,Check out Barry Lyndon by Kubrick as well!,MOV
155,she has makeup on...,NOT
156,"In hindsight, that was inspired casting",MOV
157,When is he not?,NOT
158,Really enjoyed that movie.,MOV
159,Should I take the AP Physics 1 exam if I’m a computer science major ?,NOT
160,This article is from June.,NOT
161,Why are people posting old articles on here and not giving any context?,NOT
162,"She gets abducted eventually, by the white actors that we saw at the start of the film .",MOV
163,"They had not trained BERT in 30 minutes, they had fine-tuned it in 30 minutes.",NOT
164,I found the title misleading.,NOT
165,A  Sleeping Dogs is in development since....FOREVER,NOT
166,"how about capture artists, animators and G artists?",NOT
167,Both of Julie's parents were in Apocalypse Now.,MOV
168,Dad was 'Chef' and Mom was a Playboy Bunny.,MOV
169,Training Day is still one of the greatest films ever made.,MOV
170,And Jake has never been bad in anything I've seen.,MOV
171,This is going to be a good time at the very least.,NOT
172,"If Ryan Reynolds isn't Guy, I don't want it",MOV
173,Can RAs get out of their contracts with the health and safety clause?,NOT
174,Or is there an option to work remote?,NOT
175,[[link]  This is at [www.spire.umass.edu] .,NOT
176,Please explain to me how I'm being a dumbass.,NOT
177,My point still stands.,NOT
178,He's upper middle class pretending to be working class.,NOT
179,Those fields seem like they would go really well together!,NOT
180,You should really look into it more.,NOT
181,I would recommend talking to other students that have taken similar coursework to what you're expecting.,NOT
182,I believe the UMass STEM discord would be a good place to do this.,NOT
183,"Other than that, good luck!",NOT
184,"We see the bosses, but De Niro and Pesci’s characters were not bosses.",MOV
185,"They still had to send money upwards, the money didn’t stop with them.",NOT
186,It doesn't seem to have a unique identity.,NOT
187,Sit as close to the prof as possible AKA front row it THE SHIT.,NOT
188,People sleep on this to the max.,NOT
189,Coke as in cocaine or cola?,NOT
190,Would love to see a gump/narcos cross over.,MOV
191,"guy has zero chance, movie was trash and only got the attention it did because of spike lee's name",MOV
192,it predicts the next token given some context.,NOT
193,The very last layer is FC with |vocab_size| neurons.,NOT
194,We compare the resulting distribution over vocabulary tokens to the real distribution — i.e.,NOT
195,the OHE vector with 1 at the real next token vocabulary index.,NOT
196,Cross entropy or whatever should do the trick.,NOT
197,I disagree with Ocean—they did a great job of character development given that it's an ensemble cast.,MOV
198,Ancient Egypt predates Judaism,NOT
199,"If I remember correctly, dual degree doesn't typically delay graduation, whereas a double major does.",NOT
200,This is honestly better to talk to your advisor about than some random Reddit users though.,NOT
201,"I see, thanks for the insight.",NOT
202,I will take a look into it.,NOT
203,My first goal is to actually see what can be done and come up with a solution.,NOT
204,"The quartermaster has all the gadgets, except an iron for his wrinkled tie.",NOT
205,But if you want a more consistent source of horror just poke around the huge Lederle basement complex.,NOT
206,"Saw it again not too long ago, it was amazing to watch.",MOV
207,This is your bible: [Based on a True True Story - Information is Beautiful],MOV
208,All those you listed are quality and will be remembered fondly by the children they are made for.,NOT
209,Pixar is exhausting emotionally.,MOV
210,The good ones are good but sometimes you just want a movie.,MOV
211,Let’s have some fun!,NOT
212,And a legion of highly original people calling themselves zero cool.,NOT
213,I was considering watching this for laughs.,MOV
214,"well pardon me for misinterpreting what you were saying, so what ARE you saying?",NOT
215,They actually need to convince about half of the students to stay home.,NOT
216,Ok one more Mission Impossible scene.,MOV
217,Another option are Flair document embeddings.,NOT
218,Let us know if this works.,NOT
219,I've seen a few tools that are looking to help scientists sift through publications to identify correlations.,NOT
220,Didn’t know requirements for “amazing” meant it had to be earth shattering too.,NOT
221,You can absolutely drop your first year seminar.,NOT
222,The only people who might need to be in one are students in a RAP.,NOT
223,Everyone else is free to drop it.,NOT
224,Go to spire Enrollment>Drop and you just select the class you want to drop and drop it.,NOT
225,I’m the same way.,NOT
226,It's s shame it didn't earn much at the box office,MOV
227,The professors will likely convey the same information no matter what though?,NOT
228,"How does uploading a live harm the goal to ""give them the best possible environment""?",NOT
229,30% is still a decent percentage for interaction.,NOT
230,"If that doesn't work, I hear MeCab mentioned quite often: [[link] , used in tokenization.",NOT
231,With that you could programatically insert them in a counter object and sort by frequency.,NOT
232,You can try Moviechat.,NOT
233,They logged all the IMDb boards and threads and you can make new ones too.,NOT
234,"Bill the Butcher, no better than a Bond villain.",MOV
235,Then tell me what movie released only in theaters successful this year.,MOV
236,I don't think he can answer that.,NOT
237,Well you shouldn’t base life expectations on movies.,MOV
238,That leads to some dangerous circumstances.,NOT
239,"In a more recent sci fi, the human life extended to maybe 5 or 6 hundred years.",NOT
240,This is a Utopian future.,NOT
241,And they say ennui or boredom are the main killers.,NOT
242,"But if you make it past the first 200 years, you’ll probably be fine.",NOT
243,It's only in the UK isnt it,NOT
244,How many times have they remade that?,MOV
245,"not required for either courses, it’s optional summer prep",NOT
246,But is it going to be Rachel Weisz?,NOT
247,“We don’t think you fight fire with fire best ; we think you fight fire with water best.,NOT
248,"We’re going to fight racism not with racism, but we’re going to fight with solidarity.",NOT
249,"We say we’re not going to fight capitalism with black capitalism, but we’re going to fight it with socialism.",NOT