sentence,label
REC 2 kind of explains it.,MOV
Because the Palestinian movement is often Anti-Semitic.,NOT
That is so incredibly disappointing to hear.,NOT
Was really looking forward to acquiring my freshman 15.,NOT
"it's cool if you didn't like it, but as an action/thriller i don't see how you can fault it.",MOV
"As a CHC member of three years, the only real benefits are the dorms and small classes .",NOT
Do not underestimate the value of a good dorm though.,NOT
#Im in a zoom call!,NOT
"Considering what ends up in that pond, give the pooch a good bath soon after.l",NOT
Nor do I understand why I’m being downvoted for my opinion on a movie lmao.,MOV
Didnt damon write the screenplay for good will hunting?,MOV
Dune doesn't really resemble most of Lynch's movies.,MOV
"Besides, Lynch makes 'surreal' movies by developing a 'surreal' plot.",MOV
That marriage is why the whole thing works.,NOT
"No such thing happens in Dune, because it's an adaptation of a relatively straightforward novel.",MOV
OHill is about as far away from every place.,NOT
CS classes are held around campus but usually in the middle so as far as any other classes,NOT
"Also helps that *Air Force One* is directed by Wolfgang Petersen, who's pretty damn talented in his own right.",MOV
It's an entertaining and well made film from top to bottom.,MOV
THAT'LL BE FOUR BUCKS BABY!,NOT
YOU WANT FRIES WITH THAT?,NOT
Wet Hot American Summer and Swingers.,MOV
Better movie than both of those together.,MOV
Love these kinds of movies.,MOV
This study spot was a favorite for U.,NOT
The building [looked] a lot different [back then] than it does now!,NOT
"probably depends on your use case, but you might use SentenceBERT embeddings   [link]",NOT
"Vince Vaughn is one of those actors that, whenever he actually goes serious, just comes off as really off.",NOT
Makes it work really well for that sort of thing.,NOT
Looks like a parody of surrealist films,MOV
It’s in that place I put that thing that time,NOT
"it depends, as long as the story is told consistently  and/or efficiently .",NOT
"As someone who's worked in call centers for years, that movie hits close to home.",MOV
Are you the guy that made that other movie?,MOV
whats the big deal?,NOT
"Just to be clear, this approach classifies only using the name of the target labels, right?",NOT
"Could the label names be multi-word, or even sentence or paragraph lengths?",NOT
"The ending made me tear up, when he asked if his son is smart.",MOV
Well said and very brave of you.,NOT
"i dont really get ""scared"" by movies.",MOV
actually scary movies dont exist.,MOV
its all just sudden loudness.,NOT
Do you know of any tutorials for training a FFN classifier on top of BERT/GPT?,NOT
I'm assuming HuggingFace provides the base transformer model but I'm unfamiliar with where to go from there,NOT
"Ah, that was definitely an initial concern.",NOT
"It looks as though LSA, or potentially using vectorization may be essential to return meaningful results",NOT
This is a good one to go into without knowing anything about it.,MOV
Literally just the usual escaped mental patient story told with excellent pacing and dialogue.,MOV
"“I just sexualized children for art, judge.” Pedo director.",NOT
>the film industry isn't a well oiled machine for the people behind the scenes.,NOT
That's why they started Mud-wrestling Mondays.,NOT
"It's been said the 1977 version from the BBC, starring Louis Jordan, was the most faithful of adaptations.",MOV
> physic sidekick  Who doesn't wear a helmet because ~~she's hot~~ it interferes with her abilities.,NOT
The only time you would need to parallel park is when they plow the lots during the winter.,NOT
Took this class with her - shes just an average prof.,NOT
The online homeworks took some time to complete but the exams weren’t particularly hard .,NOT
Id say shoot straight as the other poster said,NOT
"Rocky Balboa was actually very sad, especially the gravestone scenes.",MOV
Thank you that is very helpful.,NOT
How many students actually land opportunities to work with this companies?,NOT
And through your explanation it sounds like CICS turns corporate heads – which is great to hear!,NOT
Thank you for clearing up the misconception.,NOT
I am aware Northeastern’s Co-op program is integrated into their curriculum.,NOT
So how do students at UMass intern?,NOT
When do most students tend to intern at the CICS?,NOT
And during what year ?,NOT
"Of course, it is a wrong assumption, I'm not trying to promote that idea.",NOT
"Say, women's top 20 is   1.",NOT
The Shawshank Redemption 2.,MOV
The Mountain II 4.,MOV
12 Angry Men 6.,MOV
The Lord of the Rings: The Return of the King 7.,MOV
The Lord of the Rings: The Fellowship of the Ring 8.,MOV
Life Is Beautiful 9.,MOV
The Lion King 10.,MOV
The Dark Knight 11.,MOV
The Godfather: Part II 12.,MOV
The Lord of the Rings: The Two Towers 15.,MOV
The Green Mile 16.,MOV
One Flew Over the Cuckoo's Nest  And men's top 20 is:  1.,MOV
The Shawshank Redemption 2.,MOV
The Dark Knight 4.,MOV
12 Angry Men 5.,MOV
The Godfather: Part II 6.,MOV
The Lord of the Rings: The Return of the King 8.,MOV
"The Good, the Bad and the Ugly 10.",MOV
The Mountain II 11.,MOV
The Lord of the Rings: The Fellowship of the Ring 12.,MOV
Star Wars: Episode V - The Empire Strikes Back 16.,MOV
The Lord of the Rings: The Two Towers 18.,MOV
One Flew Over the Cuckoo's Nest 19.,MOV
That sounds pretty plausible,NOT
You can try r/tipofmytongue if you’re still trying to figure this out,NOT
I think there's a lack of good dataset support for text data .,NOT
It's hypocritical and is why calling the hotline on your neighbor's for a party is extremely lame.,NOT
Its good not great.,NOT
Plenty of better in the genre.,NOT
"Before the semester started, like June",NOT
It's only in cinemas right now.,MOV
Is that Russell Brand I see?!,NOT
"It wasn’t on Hitler’s Birthday, it was the day after, this year marking Holocaust Remembrance Day",NOT
I used to live in a country where I was the majority.,NOT
"I thought asking for more ""representation"" etc was strange.",NOT
"I wasn't against it, but I just didn't really see the point.",NOT
Years ago I moved to a country where I was a racial minority.,NOT
Maybe I notice it more since things have changed for me.,NOT
I don't know what it is like if you grow up as such a minority.,NOT
"Nobody is going to be dropping any classes now, there's no reason for them to .",NOT
Wait until classes start then watch it like a hawk.,NOT
Chances are you'll get in.,NOT
UMass does not have an official film major program.,NOT
"Of the classes I have taken though, just as electives, professors are pretty good.",NOT
"Agree with the other guy, go to somewhere like Emerson or BU if you want to do film.",NOT
Can't really even tell that he basically broke his face and needed facial reconstruction.,NOT
I think it’ll be mixed.,NOT
“What was I learning other then that racist white folks are racist and white.,NOT
"People choose their residential area for all sorts of reasons, it depends what is most important to you.",NOT
"Northeast is the oldest residential area, and is closest to the brand new dining hall opening in Fall 2020.",NOT
The dorms are beautiful and conveniently located to the campus center and many classes.,NOT
"However, stereotypes include that many STEM majors live there and that it is not as social as other areas.",NOT
Central is the second oldest area and is also a very convenient location to most of campus.,NOT
"Right near Franklin dining hall and University Health Services, and is typically where many “stoners” live.",NOT
"After Northeast, Central would be the closest to engineering buildings.",NOT
Orchard Hill has absolutely gorgeous views but is quite a trek to get to.,NOT
"However, busses that run throughout the day will take you to and from, so it’s not a huge dealbreaker.",NOT
"Relatively quiet, as it is the smallest res area, but very chill vibes.",NOT
Pretty far from most classes but definitely makes up for it in parties/social life.,NOT
"Also has two dining halls within the area, so very convenient for food.",NOT
Let me know if you have any other questions!,NOT
I would totally go see Tenet but the nearest open theater to me is 25 miles away.,MOV
"No, I think her debut to nudity was a movie called Gia",MOV
It depends what class you are talking about in your first question.,NOT
"I believe every major within Engineering  has its own first year intro course, and then most eng.",NOT
majors across all disciplines will take your basic physics and chem courses.,NOT
"If you’re referring to a physics of chem lab, then yes, you’ll be getting other engineering majors .",NOT
"Calc is the same way, you’ll have people from other majors in those classes too.",NOT
"Perhaps a second lecture will be added at a different time, or the scheduling was simply a mistake.",NOT
"In the meantime, don’t worry about it.",NOT
I just wouldn’t enroll in that lab session.,NOT
"In terms of double majoring, I am not sure to be honest.",NOT
I did not know anyone who double majored with Engineering as one of the majors.,NOT
"What I will say though is that if you can, you absolutely should!",NOT
Double majoring is really cool and a unique thing not enough people take advantage of in college.,NOT
"If double majoring doesn’t work out, then consider doing the language as a minor too!",NOT
I think a minor requires 5 or 6 courses in that discipline .,NOT
"Hope I helped, any other questions?",NOT
An electrical would enroll in the electrical intro lecture and electrical lab.,NOT
Oh okay i see.,NOT
So it’s relatively small to room 3-4 people?,NOT
The rooms aren’t bigger?,NOT
"Bush Jr got a film about him 6 months before he left office, then another one 10 years after.",MOV
Uhh they're made by the guy behind Samurai Jack and Clone Wars.,MOV
Very solid kids movies.,MOV
The most ideal approach would just be to use a transformer decoder with Bert.,NOT
Check out Barry Lyndon by Kubrick as well!,MOV
she has makeup on...,NOT
"In hindsight, that was inspired casting",MOV
When is he not?,NOT
Really enjoyed that movie.,MOV
Should I take the AP Physics 1 exam if I’m a computer science major ?,NOT
This article is from June.,NOT
Why are people posting old articles on here and not giving any context?,NOT
"She gets abducted eventually, by the white actors that we saw at the start of the film .",MOV
"They had not trained BERT in 30 minutes, they had fine-tuned it in 30 minutes.",NOT
I found the title misleading.,NOT
A  Sleeping Dogs is in development since....FOREVER,NOT
"how about capture artists, animators and G artists?",NOT
Both of Julie's parents were in Apocalypse Now.,MOV
Dad was 'Chef' and Mom was a Playboy Bunny.,MOV
Training Day is still one of the greatest films ever made.,MOV
And Jake has never been bad in anything I've seen.,MOV
This is going to be a good time at the very least.,NOT
"If Ryan Reynolds isn't Guy, I don't want it",MOV
Can RAs get out of their contracts with the health and safety clause?,NOT
Or is there an option to work remote?,NOT
[[link]  This is at [www.spire.umass.edu] .,NOT
Please explain to me how I'm being a dumbass.,NOT
My point still stands.,NOT
He's upper middle class pretending to be working class.,NOT
Those fields seem like they would go really well together!,NOT
You should really look into it more.,NOT
I would recommend talking to other students that have taken similar coursework to what you're expecting.,NOT
I believe the UMass STEM discord would be a good place to do this.,NOT
"Other than that, good luck!",NOT
"We see the bosses, but De Niro and Pesci’s characters were not bosses.",MOV
"They still had to send money upwards, the money didn’t stop with them.",NOT
It doesn't seem to have a unique identity.,NOT
Sit as close to the prof as possible AKA front row it THE SHIT.,NOT
People sleep on this to the max.,NOT
Coke as in cocaine or cola?,NOT
Would love to see a gump/narcos cross over.,MOV
"guy has zero chance, movie was trash and only got the attention it did because of spike lee's name",MOV
it predicts the next token given some context.,NOT
The very last layer is FC with |vocab_size| neurons.,NOT
We compare the resulting distribution over vocabulary tokens to the real distribution — i.e.,NOT
the OHE vector with 1 at the real next token vocabulary index.,NOT
Cross entropy or whatever should do the trick.,NOT
I disagree with Ocean—they did a great job of character development given that it's an ensemble cast.,MOV
Ancient Egypt predates Judaism,NOT
"If I remember correctly, dual degree doesn't typically delay graduation, whereas a double major does.",NOT
This is honestly better to talk to your advisor about than some random Reddit users though.,NOT
"I see, thanks for the insight.",NOT
I will take a look into it.,NOT
My first goal is to actually see what can be done and come up with a solution.,NOT
"The quartermaster has all the gadgets, except an iron for his wrinkled tie.",NOT
But if you want a more consistent source of horror just poke around the huge Lederle basement complex.,NOT
"Saw it again not too long ago, it was amazing to watch.",MOV
This is your bible: [Based on a True True Story - Information is Beautiful],MOV
All those you listed are quality and will be remembered fondly by the children they are made for.,NOT
Pixar is exhausting emotionally.,MOV
The good ones are good but sometimes you just want a movie.,MOV
Let’s have some fun!,NOT
And a legion of highly original people calling themselves zero cool.,NOT
I was considering watching this for laughs.,MOV
"well pardon me for misinterpreting what you were saying, so what ARE you saying?",NOT
They actually need to convince about half of the students to stay home.,NOT
Ok one more Mission Impossible scene.,MOV
Another option are Flair document embeddings.,NOT
Let us know if this works.,NOT
I've seen a few tools that are looking to help scientists sift through publications to identify correlations.,NOT
Didn’t know requirements for “amazing” meant it had to be earth shattering too.,NOT
You can absolutely drop your first year seminar.,NOT
The only people who might need to be in one are students in a RAP.,NOT
Everyone else is free to drop it.,NOT
Go to spire Enrollment>Drop and you just select the class you want to drop and drop it.,NOT
I’m the same way.,NOT
It's s shame it didn't earn much at the box office,MOV
The professors will likely convey the same information no matter what though?,NOT
"How does uploading a live harm the goal to ""give them the best possible environment""?",NOT
30% is still a decent percentage for interaction.,NOT
"If that doesn't work, I hear MeCab mentioned quite often: [[link] , used in tokenization.",NOT
With that you could programatically insert them in a counter object and sort by frequency.,NOT
You can try Moviechat.,NOT
They logged all the IMDb boards and threads and you can make new ones too.,NOT
"Bill the Butcher, no better than a Bond villain.",MOV
Then tell me what movie released only in theaters successful this year.,MOV
I don't think he can answer that.,NOT
Well you shouldn’t base life expectations on movies.,MOV
That leads to some dangerous circumstances.,NOT
"In a more recent sci fi, the human life extended to maybe 5 or 6 hundred years.",NOT
This is a Utopian future.,NOT
And they say ennui or boredom are the main killers.,NOT
"But if you make it past the first 200 years, you’ll probably be fine.",NOT
It's only in the UK isnt it,NOT
How many times have they remade that?,MOV
"not required for either courses, it’s optional summer prep",NOT
But is it going to be Rachel Weisz?,NOT
“We don’t think you fight fire with fire best ; we think you fight fire with water best.,NOT
"We’re going to fight racism not with racism, but we’re going to fight with solidarity.",NOT
"We say we’re not going to fight capitalism with black capitalism, but we’re going to fight it with socialism.",NOT